,name,author,number of ratings,url,avg_ratings
122,"  City of Bones (The Mortal Instruments, #1)",Cassandra Clare (Goodreads Author),"1,657,164",https://www.goodreads.com//book/show/256683.City_of_Bones,4.10
123,"  Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede (Goodreads Author),"87,597",https://www.goodreads.com//book/show/150739.Dealing_with_Dragons,4.12
124,"  Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb (Goodreads Author),"122,077",https://www.goodreads.com//book/show/33396914-assassin-s-quest,4.17
125,"  The Bone Doll's Twin (The Tamír Triad, #1)",Lynn Flewelling (Goodreads Author),"11,796",https://www.goodreads.com//book/show/671560.The_Bone_Doll_s_Twin,4.06
126,"  Mistborn Trilogy Boxed Set (Mistborn, #1-3)",Brandon Sanderson (Goodreads Author),"43,716",https://www.goodreads.com//book/show/6604209-mistborn-trilogy-boxed-set,4.57
127,"  The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,"11,922",https://www.goodreads.com//book/show/33482.The_Coming_of_Conan_the_Cimmerian,4.15
128,  The Redemption of Althalus,David Eddings,"15,178",https://www.goodreads.com//book/show/110692.The_Redemption_of_Althalus,3.84
129,  The Forgotten Beasts of Eld,Patricia A. McKillip,"13,676",https://www.goodreads.com//book/show/81069.The_Forgotten_Beasts_of_Eld,4.09
130,  Stardust,Neil Gaiman (Goodreads Author),"368,532",https://www.goodreads.com//book/show/16793.Stardust,4.08
131,"  Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence (Goodreads Author),"26,986",https://www.goodreads.com//book/show/18693743-prince-of-fools,4.06
132,"  Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor (Goodreads Author),avg,https://www.goodreads.com//book/show/8490112-daughter-of-smoke-bone,really
133,"  Daggerspell (Deverry, #1)",Katharine Kerr (Goodreads Author),"14,484",https://www.goodreads.com//book/show/498214.Daggerspell,3.90
134,"  The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"381,489",https://www.goodreads.com//book/show/236093.The_Wonderful_Wizard_of_Oz,3.98
135,"  Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"119,750",https://www.goodreads.com//book/show/902715.Before_They_Are_Hanged,4.28
136,"  Poison Study (Study, #1)",Maria V. Snyder (Goodreads Author),"148,653",https://www.goodreads.com//book/show/60510.Poison_Study,4.10
137,"  Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"112,830",https://www.goodreads.com//book/show/944076.Last_Argument_of_Kings,4.27
138,"  Fire (Graceling Realm, #2)",Kristin Cashore,"166,084",https://www.goodreads.com//book/show/6137154-fire,4.10
139,"  Brisingr (The Inheritance Cycle, #3)",Christopher Paolini (Goodreads Author),"310,895",https://www.goodreads.com//book/show/2248573.Brisingr,4.05
140,"  The Thief (The Queen's Thief, #1)",Megan Whalen Turner (Goodreads Author),"72,052",https://www.goodreads.com//book/show/448873.The_Thief,3.86
141,"  The Wayfarer Redemption (Wayfarer Redemption, #1)",Sara Douglass,"16,087",https://www.goodreads.com//book/show/231989.The_Wayfarer_Redemption,3.94
142,"  The Steward (Weald Fae Journals, #1)",Christopher  Shields (Goodreads Author),556,https://www.goodreads.com//book/show/16031258-the-steward,3.92
143,"  The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks (Goodreads Author),"89,317",https://www.goodreads.com//book/show/15575.The_Sword_of_Shannara,3.76
144,"  American Gods (American Gods, #1)",Neil Gaiman (Goodreads Author),"777,496",https://www.goodreads.com//book/show/30165203-american-gods,4.10
145,"  Shadows of the Realm (The Circle of Talia, #1)",Dionne Lister (Goodreads Author),343,https://www.goodreads.com//book/show/13626269-shadows-of-the-realm,3.83
146,  Van Laven Chronicles: Throne of Novoxos,Tyler Chase (Goodreads Author),"2,029",https://www.goodreads.com//book/show/23258641-van-laven-chronicles,3.44
147,  Beowulf,Unknown,"245,494",https://www.goodreads.com//book/show/52357.Beowulf,3.46
148,"  The Heroes (First Law World, #5)",Joe Abercrombie,"43,101",https://www.goodreads.com//book/show/9300768-the-heroes,4.31
149,  Adhaata Asao's Liege,Afroz  Alam (Goodreads Author),120,https://www.goodreads.com//book/show/51476294-adhaata-asao-s-liege,4.68
150,"  Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch (Goodreads Author),"116,630",https://www.goodreads.com//book/show/40604556-red-seas-under-red-skies,4.22
151,"  The Stones of Andarus (The Devenshire Chronicles, #1)",Tom Sechrist (Goodreads Author),114,https://www.goodreads.com//book/show/20406003-the-stones-of-andarus,4.40
152,  The Runelords (Runelords #1),David Farland (Goodreads Author),"17,966",https://www.goodreads.com//book/show/144127.The_Runelords,3.76
153,"  Royal Assassin (Farseer Trilogy, #2)",Robin Hobb (Goodreads Author),"154,746",https://www.goodreads.com//book/show/25300956-royal-assassin,4.22
154,"  Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta (Goodreads Author),"45,490",https://www.goodreads.com//book/show/4932435-finnikin-of-the-rock,3.87
155,"  Kushiel's Scion (Imriel's Trilogy, #1)",Jacqueline Carey (Goodreads Author),"20,063",https://www.goodreads.com//book/show/153007.Kushiel_s_Scion,4.20
156,"  Predator & Prey (The Devenshire Chronicles, #2)",Tom Sechrist (Goodreads Author),99,https://www.goodreads.com//book/show/21533892-predator-prey,4.59
157,"  Domes of Fire (The Tamuli, #1)",David Eddings,"26,772",https://www.goodreads.com//book/show/651260.Domes_of_Fire,4.01
158,  Switch! The Lost Kingdoms of Karibu,Karen  Prince (Goodreads Author),476,https://www.goodreads.com//book/show/17886664-switch-the-lost-kingdoms-of-karibu,4.14
159,"  Sailing to Sarantium (The Sarantine Mosaic, #1)",Guy Gavriel Kay (Goodreads Author),"12,905",https://www.goodreads.com//book/show/104097.Sailing_to_Sarantium,4.17
160,"  The Fifth Season (The Broken Earth, #1)",N.K. Jemisin (Goodreads Author),"160,854",https://www.goodreads.com//book/show/19161852-the-fifth-season,4.28
161,"  The Naming (The Books of Pellinor, #1)",Alison Croggon (Goodreads Author),"24,416",https://www.goodreads.com//book/show/393146.The_Naming,4.01
162,"  The Absolute Sandman, Volume One",Neil Gaiman (Goodreads Author) (Writer),"17,925",https://www.goodreads.com//book/show/23753.The_Absolute_Sandman_Volume_One,4.65
163,  Weaveworld,Clive Barker (Goodreads Author),"28,663",https://www.goodreads.com//book/show/52640.Weaveworld,4.13
164,"  Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,"39,606",https://www.goodreads.com//book/show/13661.Tehanu,3.94
165,"  Inheritance (The Inheritance Cycle, #4)",Christopher Paolini (Goodreads Author),"223,630",https://www.goodreads.com//book/show/7664041-inheritance,4.10
166,  The Night Circus,Erin Morgenstern (Goodreads Author),"709,664",https://www.goodreads.com//book/show/9361589-the-night-circus,4.03
167,"  Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis (Goodreads Author),"110,637",https://www.goodreads.com//book/show/259836.Dragons_of_Autumn_Twilight,3.98
168,"  Eldest (The Inheritance Cycle, #2)",Christopher Paolini (Goodreads Author),"367,121",https://www.goodreads.com//book/show/45978.Eldest,3.99
169,"  The Dragon's Path (The Dagger and the Coin, #1)",Daniel Abraham,"18,966",https://www.goodreads.com//book/show/8752885-the-dragon-s-path,3.79
170,"  Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson (Goodreads Author),"138,524",https://www.goodreads.com//book/show/34002132-oathbringer,4.58
171,"  Cast in Shadow (Chronicles of Elantra, #1)",Michelle Sagara,"16,245",https://www.goodreads.com//book/show/9542.Cast_in_Shadow,3.79
172,"  Heir of Novron (The Riyria Revelations, #5-6)",Michael J. Sullivan (Goodreads Author),"41,070",https://www.goodreads.com//book/show/11100431-heir-of-novron,4.49
173,"  Shadow's Edge (Night Angel, #2)",Brent Weeks (Goodreads Author),"94,569",https://www.goodreads.com//book/show/3754016-shadow-s-edge,4.24
174,"  The Curse of the Mistwraith (Wars of Light and Shadow, #1)",Janny Wurts (Goodreads Author),"5,248",https://www.goodreads.com//book/show/28660.The_Curse_of_the_Mistwraith,3.76
175,"  Beyond the Shadows (Night Angel, #3)",Brent Weeks (Goodreads Author),"91,188",https://www.goodreads.com//book/show/3754026-beyond-the-shadows,4.25
176,"  The Elenium: The Diamond Throne / The Ruby Knight / The Sapphire Rose (The Elenium, #1-3)",David Eddings,"5,562",https://www.goodreads.com//book/show/68806.The_Elenium,4.21
177,  Imajica,Clive Barker (Goodreads Author),"20,780",https://www.goodreads.com//book/show/567704.Imajica,4.17
178,"  The Blinding Knife (Lightbringer, #2)",Brent Weeks (Goodreads Author),"76,788",https://www.goodreads.com//book/show/12499290-the-blinding-knife,4.39
